,obj,status,move_cost,reward,reward1,reward2,reward3,reward4,batch,pomo
63,996.5772,0,295.0,996.5772,9.0,692.5772094726562,0.0,0.0,6,3
64,1038.3013,0,292.0,1038.3013,29.0,717.3012084960938,0.0,0.0,6,4
65,1014.98914,0,297.0,1014.98914,19.0,698.9891357421875,0.0,0.0,6,5
66,1068.7574,0,291.0,1068.7574,16.0,761.7574462890625,0.0,0.0,6,6
67,1040.5288,0,293.0,1040.5288,31.0,716.52880859375,0.0,0.0,6,7
68,1036.6165,0,294.0,1036.6165,18.0,724.616455078125,0.0,0.0,6,8
69,1041.6926,0,297.0,1041.6926,9.0,735.6925659179688,0.0,0.0,6,9
70,959.9349,0,244.0,959.9349,15.0,700.9348754882812,0.0,0.0,7,0
71,956.3308,0,244.0,956.3308,18.0,694.330810546875,0.0,0.0,7,1
72,954.2065,0,244.0,954.2065,18.0,692.2064819335938,0.0,0.0,7,2
73,954.90533,0,244.0,954.90533,18.0,692.9053344726562,0.0,0.0,7,3
74,956.06866,0,244.0,956.06866,17.0,695.0686645507812,0.0,0.0,7,4
75,1007.1876,0,243.0,1007.1876,37.0,727.1876220703125,0.0,0.0,7,5
76,1000.87244,0,244.0,1000.87244,18.0,738.8724365234375,0.0,0.0,7,6
77,1141.8408,0,243.0,1141.8408,73.0,825.8407592773438,0.0,0.0,7,7
78,943.82996,0,243.0,943.82996,15.0,685.8299560546875,0.0,0.0,7,8
79,996.8923,0,244.0,996.8923,22.0,730.8922729492188,0.0,0.0,7,9
80,960.988,0,237.0,960.988,21.0,702.9879760742188,0.0,0.0,8,0
81,936.8347,0,240.0,936.8347,33.0,663.834716796875,0.0,0.0,8,1
82,948.4924,0,239.0,948.4924,37.0,672.4923706054688,0.0,0.0,8,2
83,939.78375,0,239.0,939.78375,34.0,666.7837524414062,0.0,0.0,8,3
84,948.4924,0,239.0,948.4924,37.0,672.4923706054688,0.0,0.0,8,4
85,1213.9254,0,234.0,1213.9254,105.0,789.9254150390625,0.0,85.0,8,5
86,976.64014,0,242.0,976.64014,28.0,706.64013671875,0.0,0.0,8,6
87,1077.1091,0,241.0,1077.1091,83.0,740.1090698242188,0.0,13.0,8,7
88,1183.1196,0,233.0,1183.1196,102.0,795.1195678710938,0.0,53.0,8,8
89,942.47833,0,244.0,942.47833,30.0,668.4783325195312,0.0,0.0,8,9
90,1007.9423,0,268.0,1007.9423,11.0,728.9423217773438,0.0,0.0,9,0
91,1112.1716,0,260.0,1112.1716,64.0,788.1715698242188,0.0,0.0,9,1
92,1136.3528,0,259.0,1136.3528,75.0,802.3527221679688,0.0,0.0,9,2
93,1158.5813,0,256.0,1158.5813,63.0,839.581298828125,0.0,0.0,9,3
94,1128.9518,0,259.0,1128.9518,69.0,800.9517822265625,0.0,0.0,9,4
95,1034.798,0,265.0,1034.798,32.0,737.7979736328125,0.0,0.0,9,5
96,1119.0328,0,257.0,1119.0328,65.0,797.0328369140625,0.0,0.0,9,6
97,1085.0964,0,270.0,1085.0964,43.0,747.0963745117188,0.0,25.0,9,7
98,1077.9312,0,269.0,1077.9312,38.0,770.93115234375,0.0,0.0,9,8
99,1013.3936,0,267.0,1013.3936,22.0,724.3936157226562,0.0,0.0,9,9
100,998.8761,0,226.0,998.8761,63.0,709.8760986328125,0.0,0.0,10,0
101,975.93317,0,227.0,975.93317,56.0,692.9331665039062,0.0,0.0,10,1
102,984.34845,0,230.0,984.34845,54.0,700.3484497070312,0.0,0.0,10,2
103,970.8899,0,229.0,970.8899,51.0,690.889892578125,0.0,0.0,10,3
104,987.0895,0,228.0,987.0895,55.0,704.0894775390625,0.0,0.0,10,4
105,990.7876,0,229.0,990.7876,60.0,701.78759765625,0.0,0.0,10,5
106,963.7226,0,232.0,963.7226,32.0,699.7225952148438,0.0,0.0,10,6
107,1073.574,0,228.0,1073.574,89.0,756.5739135742188,0.0,0.0,10,7
108,974.99164,0,231.0,974.99164,31.0,712.9916381835938,0.0,0.0,10,8
109,965.10626,0,230.0,965.10626,48.0,687.1062622070312,0.0,0.0,10,9
110,999.9042,0,240.0,999.9042,42.0,717.9041748046875,0.0,0.0,11,0
111,1012.7699,0,239.0,1012.7699,45.0,728.7698974609375,0.0,0.0,11,1
112,993.8353,0,238.0,993.8353,41.0,714.8353271484375,0.0,0.0,11,2
113,1013.76416,0,238.0,1013.76416,45.0,730.76416015625,0.0,0.0,11,3
114,1029.164,0,239.0,1029.164,53.0,737.1639404296875,0.0,0.0,11,4
115,964.2836,0,237.0,964.2836,48.0,679.2836303710938,0.0,0.0,11,5
116,1090.6416,0,239.0,1090.6416,53.0,798.6416625976562,0.0,0.0,11,6
117,1124.9412,0,237.0,1124.9412,69.0,818.9412231445312,0.0,0.0,11,7
118,1012.49945,0,238.0,1012.49945,42.0,732.4994506835938,0.0,0.0,11,8
119,1062.5833,0,239.0,1062.5833,51.0,772.5831909179688,0.0,0.0,11,9
120,1252.273,0,217.0,1252.273,126.0,837.2730102539062,0.0,72.0,12,0
121,1422.2705,0,218.0,1422.2705,127.0,796.2704467773438,0.0,281.0,12,1
122,1388.0828,0,218.0,1388.0828,117.0,789.0828247070312,0.0,264.0,12,2
123,1380.8741,0,218.0,1380.8741,121.0,787.8741455078125,0.0,254.0,12,3
124,1388.0828,0,218.0,1388.0828,117.0,789.0828247070312,0.0,264.0,12,4
125,1323.7561,0,216.0,1323.7561,160.0,833.7560424804688,0.0,114.0,12,5
126,1380.3604,0,218.0,1380.3604,109.0,778.3602905273438,0.0,275.0,12,6
127,1272.0894,0,212.0,1272.0894,149.0,885.0894165039062,0.0,26.0,12,7
128,1360.6345,0,218.0,1360.6345,139.0,838.634521484375,0.0,165.0,12,8
129,1419.9902,0,219.0,1419.9902,113.0,796.9902954101562,0.0,291.0,12,9
130,1039.916,0,289.0,1039.916,27.0,723.9160766601562,0.0,0.0,13,0
131,1024.6814,0,288.0,1024.6814,29.0,707.6814575195312,0.0,0.0,13,1
132,1026.7283,0,288.0,1026.7283,28.0,710.7283325195312,0.0,0.0,13,2
133,994.34924,0,294.0,994.34924,18.0,682.3492431640625,0.0,0.0,13,3
134,1045.8083,0,289.0,1045.8083,30.0,726.8082885742188,0.0,0.0,13,4
135,1081.6279,0,286.0,1081.6279,43.0,752.6278686523438,0.0,0.0,13,5
136,1056.9158,0,293.0,1056.9158,3.0,760.9158325195312,0.0,0.0,13,6
137,1023.05853,0,290.0,1023.05853,31.0,702.0585327148438,0.0,0.0,13,7
138,1052.1038,0,286.0,1052.1038,25.0,741.103759765625,0.0,0.0,13,8
139,1111.706,0,285.0,1111.706,34.0,792.7059936523438,0.0,0.0,13,9
140,1051.3091,0,278.0,1051.3091,35.0,738.3090209960938,0.0,0.0,14,0
141,1016.44366,0,286.0,1016.44366,37.0,693.4436645507812,0.0,0.0,14,1
